"ID","A","B","C"
"5313","a5313","b5313","c5313"
"5314","a5314","b5314","c5314"
"5315","a5315","b5315","c5315"
"5316","a5316","b5316","c5316"
"5317","a5317","b5317","c5317"
"5318","a5318","b5318","c5318"
"5319","a5319","b5319","c5319"
"5320","a5320","b5320","c5320"
"5321","a5321","b5321","c5321"
"5322","a5322","b5322","c5322"
"5323","a5323","b5323","c5323"
"5324","a5324","b5324","c5324"
"5325","a5325","b5325","c5325"
"5326","a5326","b5326","c5326"
"5327","a5327","b5327","c5327"
"5328","a5328","b5328","c5328"
"5329","a5329","b5329","c5329"
"5330","a5330","b5330","c5330"
"5331","a5331","b5331","c5331"
"5332","a5332","b5332","c5332"
"5333","a5333","b5333","c5333"
"5334","a5334","b5334","c5334"
"5335","a5335","b5335","c5335"
"5336","a5336","b5336","c5336"
"5337","a5337","b5337","c5337"
"5338","a5338","b5338","c5338"
"5339","a5339","b5339","c5339"
"5340","a5340","b5340","c5340"
"5341","a5341","b5341","c5341"
"5342","a5342","b5342","c5342"
"5343","a5343","b5343","c5343"
"5344","a5344","b5344","c5344"
"5345","a5345","b5345","c5345"
"5346","a5346","b5346","c5346"
"5347","a5347","b5347","c5347"
"5348","a5348","b5348","c5348"
"5349","a5349","b5349","c5349"
"5350","a5350","b5350","c5350"
"5351","a5351","b5351","c5351"
"5352","a5352","b5352","c5352"
"5353","a5353","b5353","c5353"
"5354","a5354","b5354","c5354"
"5355","a5355","b5355","c5355"
"5356","a5356","b5356","c5356"
"5357","a5357","b5357","c5357"
"5358","a5358","b5358","c5358"
"5359","a5359","b5359","c5359"
"5360","a5360","b5360","c5360"
"5361","a5361","b5361","c5361"
"5362","a5362","b5362","c5362"
"5363","a5363","b5363","c5363"
"5364","a5364","b5364","c5364"
"5365","a5365","b5365","c5365"
"5366","a5366","b5366","c5366"
"5367","a5367","b5367","c5367"
"5368","a5368","b5368","c5368"
"5369","a5369","b5369","c5369"
"5370","a5370","b5370","c5370"
"5371","a5371","b5371","c5371"
"5372","a5372","b5372","c5372"
"5373","a5373","b5373","c5373"
"5374","a5374","b5374","c5374"
"5375","a5375","b5375","c5375"
"5376","a5376","b5376","c5376"
"5377","a5377","b5377","c5377"
"5378","a5378","b5378","c5378"
"5379","a5379","b5379","c5379"
"5380","a5380","b5380","c5380"
"5381","a5381","b5381","c5381"
"5382","a5382","b5382","c5382"
"5383","a5383","b5383","c5383"
"5384","a5384","b5384","c5384"
"5385","a5385","b5385","c5385"
"5386","a5386","b5386","c5386"
"5387","a5387","b5387","c5387"
"5388","a5388","b5388","c5388"
"5389","a5389","b5389","c5389"
"5390","a5390","b5390","c5390"
"5391","a5391","b5391","c5391"
"5392","a5392","b5392","c5392"
"5393","a5393","b5393","c5393"
"5394","a5394","b5394","c5394"
"5395","a5395","b5395","c5395"
"5396","a5396","b5396","c5396"
"5397","a5397","b5397","c5397"
"5398","a5398","b5398","c5398"
"5399","a5399","b5399","c5399"
"5400","a5400","b5400","c5400"
"5401","a5401","b5401","c5401"
"5402","a5402","b5402","c5402"
"5403","a5403","b5403","c5403"
"5404","a5404","b5404","c5404"
"5405","a5405","b5405","c5405"
"5406","a5406","b5406","c5406"
"5407","a5407","b5407","c5407"
"5408","a5408","b5408","c5408"
"5409","a5409","b5409","c5409"
"5410","a5410","b5410","c5410"
"5411","a5411","b5411","c5411"
"5412","a5412","b5412","c5412"
"5413","a5413","b5413","c5413"
"5414","a5414","b5414","c5414"
"5415","a5415","b5415","c5415"
"5416","a5416","b5416","c5416"
"5417","a5417","b5417","c5417"
"5418","a5418","b5418","c5418"
"5419","a5419","b5419","c5419"
"5420","a5420","b5420","c5420"
"5421","a5421","b5421","c5421"
"5422","a5422","b5422","c5422"
"5423","a5423","b5423","c5423"
"5424","a5424","b5424","c5424"
"5425","a5425","b5425","c5425"
"5426","a5426","b5426","c5426"
"5427","a5427","b5427","c5427"
"5428","a5428","b5428","c5428"
"5429","a5429","b5429","c5429"
"5430","a5430","b5430","c5430"
"5431","a5431","b5431","c5431"
"5432","a5432","b5432","c5432"
"5433","a5433","b5433","c5433"
"5434","a5434","b5434","c5434"
"5435","a5435","b5435","c5435"
"5436","a5436","b5436","c5436"
"5437","a5437","b5437","c5437"
"5438","a5438","b5438","c5438"
"5439","a5439","b5439","c5439"
"5440","a5440","b5440","c5440"
"5441","a5441","b5441","c5441"
"5442","a5442","b5442","c5442"
"5443","a5443","b5443","c5443"
"5444","a5444","b5444","c5444"
"5445","a5445","b5445","c5445"
"5446","a5446","b5446","c5446"
"5447","a5447","b5447","c5447"
"5448","a5448","b5448","c5448"
"5449","a5449","b5449","c5449"
"5450","a5450","b5450","c5450"
"5451","a5451","b5451","c5451"
"5452","a5452","b5452","c5452"
"5453","a5453","b5453","c5453"
"5454","a5454","b5454","c5454"
"5455","a5455","b5455","c5455"
"5456","a5456","b5456","c5456"
"5457","a5457","b5457","c5457"
"5458","a5458","b5458","c5458"
"5459","a5459","b5459","c5459"
"5460","a5460","b5460","c5460"
"5461","a5461","b5461","c5461"
"5462","a5462","b5462","c5462"
"5463","a5463","b5463","c5463"
"5464","a5464","b5464","c5464"
"5465","a5465","b5465","c5465"
"5466","a5466","b5466","c5466"
"5467","a5467","b5467","c5467"
"5468","a5468","b5468","c5468"
"5469","a5469","b5469","c5469"
"5470","a5470","b5470","c5470"
"5471","a5471","b5471","c5471"
"5472","a5472","b5472","c5472"
"5473","a5473","b5473","c5473"
"5474","a5474","b5474","c5474"
"5475","a5475","b5475","c5475"
"5476","a5476","b5476","c5476"
"5477","a5477","b5477","c5477"
"5478","a5478","b5478","c5478"
"5479","a5479","b5479","c5479"
"5480","a5480","b5480","c5480"
"5481","a5481","b5481","c5481"
"5482","a5482","b5482","c5482"
"5483","a5483","b5483","c5483"
"5484","a5484","b5484","c5484"
"5485","a5485","b5485","c5485"
"5486","a5486","b5486","c5486"
"5487","a5487","b5487","c5487"
"5488","a5488","b5488","c5488"
"5489","a5489","b5489","c5489"
"5490","a5490","b5490","c5490"
"5491","a5491","b5491","c5491"
"5492","a5492","b5492","c5492"
"5493","a5493","b5493","c5493"
"5494","a5494","b5494","c5494"
"5495","a5495","b5495","c5495"
"5496","a5496","b5496","c5496"
"5497","a5497","b5497","c5497"
"5498","a5498","b5498","c5498"
"5499","a5499","b5499","c5499"
"5500","a5500","b5500","c5500"
"5501","a5501","b5501","c5501"
"5502","a5502","b5502","c5502"
"5503","a5503","b5503","c5503"
"5504","a5504","b5504","c5504"
"5505","a5505","b5505","c5505"
"5506","a5506","b5506","c5506"
"5507","a5507","b5507","c5507"
"5508","a5508","b5508","c5508"
"5509","a5509","b5509","c5509"
"5510","a5510","b5510","c5510"
"5511","a5511","b5511","c5511"
"5512","a5512","b5512","c5512"
"5513","a5513","b5513","c5513"
"5514","a5514","b5514","c5514"
"5515","a5515","b5515","c5515"
"5516","a5516","b5516","c5516"
"5517","a5517","b5517","c5517"
"5518","a5518","b5518","c5518"
"5519","a5519","b5519","c5519"
"5520","a5520","b5520","c5520"
"5521","a5521","b5521","c5521"
"5522","a5522","b5522","c5522"
"5523","a5523","b5523","c5523"
"5524","a5524","b5524","c5524"
"5525","a5525","b5525","c5525"
"5526","a5526","b5526","c5526"
"5527","a5527","b5527","c5527"
"5528","a5528","b5528","c5528"
"5529","a5529","b5529","c5529"
"5530","a5530","b5530","c5530"
"5531","a5531","b5531","c5531"
"5532","a5532","b5532","c5532"
"5533","a5533","b5533","c5533"
"5534","a5534","b5534","c5534"
"5535","a5535","b5535","c5535"
"5536","a5536","b5536","c5536"
"5537","a5537","b5537","c5537"
"5538","a5538","b5538","c5538"
"5539","a5539","b5539","c5539"
"5540","a5540","b5540","c5540"
"5541","a5541","b5541","c5541"
"5542","a5542","b5542","c5542"
"5543","a5543","b5543","c5543"
"5544","a5544","b5544","c5544"
"5545","a5545","b5545","c5545"
"5546","a5546","b5546","c5546"
"5547","a5547","b5547","c5547"
"5548","a5548","b5548","c5548"
"5549","a5549","b5549","c5549"
"5550","a5550","b5550","c5550"
"5551","a5551","b5551","c5551"
"5552","a5552","b5552","c5552"
"5553","a5553","b5553","c5553"
"5554","a5554","b5554","c5554"
"5555","a5555","b5555","c5555"
"5556","a5556","b5556","c5556"
"5557","a5557","b5557","c5557"
"5558","a5558","b5558","c5558"
"5559","a5559","b5559","c5559"
"5560","a5560","b5560","c5560"
"5561","a5561","b5561","c5561"
"5562","a5562","b5562","c5562"
"5563","a5563","b5563","c5563"
"5564","a5564","b5564","c5564"
"5565","a5565","b5565","c5565"
"5566","a5566","b5566","c5566"
"5567","a5567","b5567","c5567"
"5568","a5568","b5568","c5568"
"5569","a5569","b5569","c5569"
"5570","a5570","b5570","c5570"
"5571","a5571","b5571","c5571"
"5572","a5572","b5572","c5572"
"5573","a5573","b5573","c5573"
"5574","a5574","b5574","c5574"
"5575","a5575","b5575","c5575"
"5576","a5576","b5576","c5576"
"5577","a5577","b5577","c5577"
"5578","a5578","b5578","c5578"
"5579","a5579","b5579","c5579"
"5580","a5580","b5580","c5580"
"5581","a5581","b5581","c5581"
"5582","a5582","b5582","c5582"
"5583","a5583","b5583","c5583"
"5584","a5584","b5584","c5584"
"5585","a5585","b5585","c5585"
"5586","a5586","b5586","c5586"
"5587","a5587","b5587","c5587"
"5588","a5588","b5588","c5588"
"5589","a5589","b5589","c5589"
"5590","a5590","b5590","c5590"
"5591","a5591","b5591","c5591"
"5592","a5592","b5592","c5592"
"5593","a5593","b5593","c5593"
"5594","a5594","b5594","c5594"
"5595","a5595","b5595","c5595"
"5596","a5596","b5596","c5596"
"5597","a5597","b5597","c5597"
"5598","a5598","b5598","c5598"
"5599","a5599","b5599","c5599"
"5600","a5600","b5600","c5600"
"5601","a5601","b5601","c5601"
"5602","a5602","b5602","c5602"
"5603","a5603","b5603","c5603"
"5604","a5604","b5604","c5604"
"5605","a5605","b5605","c5605"
"5606","a5606","b5606","c5606"
"5607","a5607","b5607","c5607"
"5608","a5608","b5608","c5608"
"5609","a5609","b5609","c5609"
"5610","a5610","b5610","c5610"
"5611","a5611","b5611","c5611"
"5612","a5612","b5612","c5612"
"5613","a5613","b5613","c5613"
"5614","a5614","b5614","c5614"
"5615","a5615","b5615","c5615"
"5616","a5616","b5616","c5616"
"5617","a5617","b5617","c5617"
"5618","a5618","b5618","c5618"
"5619","a5619","b5619","c5619"
"5620","a5620","b5620","c5620"
"5621","a5621","b5621","c5621"
"5622","a5622","b5622","c5622"
"5623","a5623","b5623","c5623"
"5624","a5624","b5624","c5624"
"5625","a5625","b5625","c5625"
"5626","a5626","b5626","c5626"
"5627","a5627","b5627","c5627"
"5628","a5628","b5628","c5628"
"5629","a5629","b5629","c5629"
"5630","a5630","b5630","c5630"
"5631","a5631","b5631","c5631"
"5632","a5632","b5632","c5632"
"5633","a5633","b5633","c5633"
"5634","a5634","b5634","c5634"
"5635","a5635","b5635","c5635"
"5636","a5636","b5636","c5636"
"5637","a5637","b5637","c5637"
"5638","a5638","b5638","c5638"
"5639","a5639","b5639","c5639"
"5640","a5640","b5640","c5640"
"5641","a5641","b5641","c5641"
"5642","a5642","b5642","c5642"
"5643","a5643","b5643","c5643"
"5644","a5644","b5644","c5644"
"5645","a5645","b5645","c5645"
"5646","a5646","b5646","c5646"
"5647","a5647","b5647","c5647"
"5648","a5648","b5648","c5648"
"5649","a5649","b5649","c5649"
"5650","a5650","b5650","c5650"
"5651","a5651","b5651","c5651"
"5652","a5652","b5652","c5652"
"5653","a5653","b5653","c5653"
"5654","a5654","b5654","c5654"
"5655","a5655","b5655","c5655"
"5656","a5656","b5656","c5656"
"5657","a5657","b5657","c5657"
"5658","a5658","b5658","c5658"
"5659","a5659","b5659","c5659"
"5660","a5660","b5660","c5660"
"5661","a5661","b5661","c5661"
"5662","a5662","b5662","c5662"
"5663","a5663","b5663","c5663"
"5664","a5664","b5664","c5664"
"5665","a5665","b5665","c5665"
"5666","a5666","b5666","c5666"
"5667","a5667","b5667","c5667"
"5668","a5668","b5668","c5668"
"5669","a5669","b5669","c5669"
"5670","a5670","b5670","c5670"
"5671","a5671","b5671","c5671"
"5672","a5672","b5672","c5672"
"5673","a5673","b5673","c5673"
"5674","a5674","b5674","c5674"
"5675","a5675","b5675","c5675"
"5676","a5676","b5676","c5676"
"5677","a5677","b5677","c5677"
"5678","a5678","b5678","c5678"
"5679","a5679","b5679","c5679"
"5680","a5680","b5680","c5680"
"5681","a5681","b5681","c5681"
"5682","a5682","b5682","c5682"
"5683","a5683","b5683","c5683"
"5684","a5684","b5684","c5684"
"5685","a5685","b5685","c5685"
"5686","a5686","b5686","c5686"
"5687","a5687","b5687","c5687"
"5688","a5688","b5688","c5688"
"5689","a5689","b5689","c5689"
"5690","a5690","b5690","c5690"
"5691","a5691","b5691","c5691"
"5692","a5692","b5692","c5692"
"5693","a5693","b5693","c5693"
"5694","a5694","b5694","c5694"
"5695","a5695","b5695","c5695"
"5696","a5696","b5696","c5696"
"5697","a5697","b5697","c5697"
"5698","a5698","b5698","c5698"
"5699","a5699","b5699","c5699"
"5700","a5700","b5700","c5700"
"5701","a5701","b5701","c5701"
"5702","a5702","b5702","c5702"
"5703","a5703","b5703","c5703"
"5704","a5704","b5704","c5704"
"5705","a5705","b5705","c5705"
"5706","a5706","b5706","c5706"
"5707","a5707","b5707","c5707"
"5708","a5708","b5708","c5708"
"5709","a5709","b5709","c5709"
"5710","a5710","b5710","c5710"
"5711","a5711","b5711","c5711"
"5712","a5712","b5712","c5712"
"5713","a5713","b5713","c5713"
"5714","a5714","b5714","c5714"
"5715","a5715","b5715","c5715"
"5716","a5716","b5716","c5716"
"5717","a5717","b5717","c5717"
"5718","a5718","b5718","c5718"
"5719","a5719","b5719","c5719"
"5720","a5720","b5720","c5720"
"5721","a5721","b5721","c5721"
"5722","a5722","b5722","c5722"
"5723","a5723","b5723","c5723"
"5724","a5724","b5724","c5724"
"5725","a5725","b5725","c5725"
"5726","a5726","b5726","c5726"
"5727","a5727","b5727","c5727"
"5728","a5728","b5728","c5728"
"5729","a5729","b5729","c5729"
"5730","a5730","b5730","c5730"
"5731","a5731","b5731","c5731"
"5732","a5732","b5732","c5732"
"5733","a5733","b5733","c5733"
"5734","a5734","b5734","c5734"
"5735","a5735","b5735","c5735"
"5736","a5736","b5736","c5736"
"5737","a5737","b5737","c5737"
"5738","a5738","b5738","c5738"
"5739","a5739","b5739","c5739"
"5740","a5740","b5740","c5740"
"5741","a5741","b5741","c5741"
"5742","a5742","b5742","c5742"
"5743","a5743","b5743","c5743"
"5744","a5744","b5744","c5744"
"5745","a5745","b5745","c5745"
"5746","a5746","b5746","c5746"
"5747","a5747","b5747","c5747"
"5748","a5748","b5748","c5748"
"5749","a5749","b5749","c5749"
"5750","a5750","b5750","c5750"
"5751","a5751","b5751","c5751"
"5752","a5752","b5752","c5752"
"5753","a5753","b5753","c5753"
"5754","a5754","b5754","c5754"
"5755","a5755","b5755","c5755"
"5756","a5756","b5756","c5756"
"5757","a5757","b5757","c5757"
"5758","a5758","b5758","c5758"
"5759","a5759","b5759","c5759"
"5760","a5760","b5760","c5760"
"5761","a5761","b5761","c5761"
"5762","a5762","b5762","c5762"
"5763","a5763","b5763","c5763"
"5764","a5764","b5764","c5764"
"5765","a5765","b5765","c5765"
"5766","a5766","b5766","c5766"
"5767","a5767","b5767","c5767"
"5768","a5768","b5768","c5768"
"5769","a5769","b5769","c5769"
"5770","a5770","b5770","c5770"
"5771","a5771","b5771","c5771"
"5772","a5772","b5772","c5772"
"5773","a5773","b5773","c5773"
"5774","a5774","b5774","c5774"
"5775","a5775","b5775","c5775"
"5776","a5776","b5776","c5776"
"5777","a5777","b5777","c5777"
"5778","a5778","b5778","c5778"
"5779","a5779","b5779","c5779"
"5780","a5780","b5780","c5780"
"5781","a5781","b5781","c5781"
"5782","a5782","b5782","c5782"
"5783","a5783","b5783","c5783"
"5784","a5784","b5784","c5784"
"5785","a5785","b5785","c5785"
"5786","a5786","b5786","c5786"
"5787","a5787","b5787","c5787"
"5788","a5788","b5788","c5788"
"5789","a5789","b5789","c5789"
"5790","a5790","b5790","c5790"
"5791","a5791","b5791","c5791"
"5792","a5792","b5792","c5792"
"5793","a5793","b5793","c5793"
"5794","a5794","b5794","c5794"
"5795","a5795","b5795","c5795"
"5796","a5796","b5796","c5796"
"5797","a5797","b5797","c5797"
"5798","a5798","b5798","c5798"
"5799","a5799","b5799","c5799"
"5800","a5800","b5800","c5800"
"5801","a5801","b5801","c5801"
"5802","a5802","b5802","c5802"
"5803","a5803","b5803","c5803"
"5804","a5804","b5804","c5804"
"5805","a5805","b5805","c5805"
"5806","a5806","b5806","c5806"
"5807","a5807","b5807","c5807"
"5808","a5808","b5808","c5808"
"5809","a5809","b5809","c5809"
"5810","a5810","b5810","c5810"
"5811","a5811","b5811","c5811"
"5812","a5812","b5812","c5812"
"5813","a5813","b5813","c5813"
"5814","a5814","b5814","c5814"
"5815","a5815","b5815","c5815"
"5816","a5816","b5816","c5816"
"5817","a5817","b5817","c5817"
"5818","a5818","b5818","c5818"
"5819","a5819","b5819","c5819"
"5820","a5820","b5820","c5820"
"5821","a5821","b5821","c5821"
"5822","a5822","b5822","c5822"
"5823","a5823","b5823","c5823"
"5824","a5824","b5824","c5824"
"5825","a5825","b5825","c5825"
"5826","a5826","b5826","c5826"
"5827","a5827","b5827","c5827"
"5828","a5828","b5828","c5828"
"5829","a5829","b5829","c5829"
"5830","a5830","b5830","c5830"
"5831","a5831","b5831","c5831"
"5832","a5832","b5832","c5832"
"5833","a5833","b5833","c5833"
"5834","a5834","b5834","c5834"
"5835","a5835","b5835","c5835"
"5836","a5836","b5836","c5836"
"5837","a5837","b5837","c5837"
"5838","a5838","b5838","c5838"
"5839","a5839","b5839","c5839"
"5840","a5840","b5840","c5840"
"5841","a5841","b5841","c5841"
"5842","a5842","b5842","c5842"
"5843","a5843","b5843","c5843"
"5844","a5844","b5844","c5844"
"5845","a5845","b5845","c5845"
"5846","a5846","b5846","c5846"
"5847","a5847","b5847","c5847"
"5848","a5848","b5848","c5848"
"5849","a5849","b5849","c5849"
"5850","a5850","b5850","c5850"
"5851","a5851","b5851","c5851"
"5852","a5852","b5852","c5852"
"5853","a5853","b5853","c5853"
"5854","a5854","b5854","c5854"
"5855","a5855","b5855","c5855"
"5856","a5856","b5856","c5856"
"5857","a5857","b5857","c5857"
"5858","a5858","b5858","c5858"
"5859","a5859","b5859","c5859"
"5860","a5860","b5860","c5860"
"5861","a5861","b5861","c5861"
"5862","a5862","b5862","c5862"
"5863","a5863","b5863","c5863"
"5864","a5864","b5864","c5864"
"5865","a5865","b5865","c5865"
"5866","a5866","b5866","c5866"
"5867","a5867","b5867","c5867"
"5868","a5868","b5868","c5868"
"5869","a5869","b5869","c5869"
"5870","a5870","b5870","c5870"
"5871","a5871","b5871","c5871"
"5872","a5872","b5872","c5872"
"5873","a5873","b5873","c5873"
"5874","a5874","b5874","c5874"
"5875","a5875","b5875","c5875"
"5876","a5876","b5876","c5876"
"5877","a5877","b5877","c5877"
"5878","a5878","b5878","c5878"
"5879","a5879","b5879","c5879"
"5880","a5880","b5880","c5880"
"5881","a5881","b5881","c5881"
"5882","a5882","b5882","c5882"
"5883","a5883","b5883","c5883"
"5884","a5884","b5884","c5884"
"5885","a5885","b5885","c5885"
"5886","a5886","b5886","c5886"
"5887","a5887","b5887","c5887"
"5888","a5888","b5888","c5888"
"5889","a5889","b5889","c5889"
"5890","a5890","b5890","c5890"
"5891","a5891","b5891","c5891"
"5892","a5892","b5892","c5892"
"5893","a5893","b5893","c5893"
"5894","a5894","b5894","c5894"
"5895","a5895","b5895","c5895"
"5896","a5896","b5896","c5896"
"5897","a5897","b5897","c5897"
"5898","a5898","b5898","c5898"
"5899","a5899","b5899","c5899"
"5900","a5900","b5900","c5900"
"5901","a5901","b5901","c5901"
"5902","a5902","b5902","c5902"
"5903","a5903","b5903","c5903"
"5904","a5904","b5904","c5904"
"5905","a5905","b5905","c5905"
"5906","a5906","b5906","c5906"
"5907","a5907","b5907","c5907"
"5908","a5908","b5908","c5908"
"5909","a5909","b5909","c5909"
"5910","a5910","b5910","c5910"
"5911","a5911","b5911","c5911"
"5912","a5912","b5912","c5912"
"5913","a5913","b5913","c5913"
"5914","a5914","b5914","c5914"
"5915","a5915","b5915","c5915"
"5916","a5916","b5916","c5916"
"5917","a5917","b5917","c5917"
"5918","a5918","b5918","c5918"
"5919","a5919","b5919","c5919"
"5920","a5920","b5920","c5920"
"5921","a5921","b5921","c5921"
"5922","a5922","b5922","c5922"
"5923","a5923","b5923","c5923"
"5924","a5924","b5924","c5924"
"5925","a5925","b5925","c5925"
"5926","a5926","b5926","c5926"
"5927","a5927","b5927","c5927"
"5928","a5928","b5928","c5928"
"5929","a5929","b5929","c5929"
"5930","a5930","b5930","c5930"
"5931","a5931","b5931","c5931"
"5932","a5932","b5932","c5932"
"5933","a5933","b5933","c5933"
"5934","a5934","b5934","c5934"
"5935","a5935","b5935","c5935"
"5936","a5936","b5936","c5936"
"5937","a5937","b5937","c5937"
"5938","a5938","b5938","c5938"
"5939","a5939","b5939","c5939"
"5940","a5940","b5940","c5940"
"5941","a5941","b5941","c5941"
"5942","a5942","b5942","c5942"
"5943","a5943","b5943","c5943"
"5944","a5944","b5944","c5944"
"5945","a5945","b5945","c5945"
"5946","a5946","b5946","c5946"
"5947","a5947","b5947","c5947"
"5948","a5948","b5948","c5948"
"5949","a5949","b5949","c5949"
"5950","a5950","b5950","c5950"
"5951","a5951","b5951","c5951"
"5952","a5952","b5952","c5952"
"5953","a5953","b5953","c5953"
"5954","a5954","b5954","c5954"
"5955","a5955","b5955","c5955"
"5956","a5956","b5956","c5956"
"5957","a5957","b5957","c5957"
"5958","a5958","b5958","c5958"
"5959","a5959","b5959","c5959"
"5960","a5960","b5960","c5960"
"5961","a5961","b5961","c5961"
"5962","a5962","b5962","c5962"
"5963","a5963","b5963","c5963"
"5964","a5964","b5964","c5964"
"5965","a5965","b5965","c5965"
"5966","a5966","b5966","c5966"
"5967","a5967","b5967","c5967"
"5968","a5968","b5968","c5968"
"5969","a5969","b5969","c5969"
"5970","a5970","b5970","c5970"
"5971","a5971","b5971","c5971"
"5972","a5972","b5972","c5972"
"5973","a5973","b5973","c5973"
"5974","a5974","b5974","c5974"
"5975","a5975","b5975","c5975"
"5976","a5976","b5976","c5976"
"5977","a5977","b5977","c5977"
"5978","a5978","b5978","c5978"
"5979","a5979","b5979","c5979"
"5980","a5980","b5980","c5980"
"5981","a5981","b5981","c5981"
"5982","a5982","b5982","c5982"
"5983","a5983","b5983","c5983"
"5984","a5984","b5984","c5984"
"5985","a5985","b5985","c5985"
"5986","a5986","b5986","c5986"
"5987","a5987","b5987","c5987"
"5988","a5988","b5988","c5988"
"5989","a5989","b5989","c5989"
"5990","a5990","b5990","c5990"
"5991","a5991","b5991","c5991"
"5992","a5992","b5992","c5992"
"5993","a5993","b5993","c5993"
"5994","a5994","b5994","c5994"
"5995","a5995","b5995","c5995"
"5996","a5996","b5996","c5996"
"5997","a5997","b5997","c5997"
"5998","a5998","b5998","c5998"
"5999","a5999","b5999","c5999"
"6000","a6000","b6000","c6000"
"6001","a6001","b6001","c6001"
"6002","a6002","b6002","c6002"
"6003","a6003","b6003","c6003"
"6004","a6004","b6004","c6004"
"6005","a6005","b6005","c6005"
"6006","a6006","b6006","c6006"
"6007","a6007","b6007","c6007"
"6008","a6008","b6008","c6008"
"6009","a6009","b6009","c6009"
"6010","a6010","b6010","c6010"
"6011","a6011","b6011","c6011"
"6012","a6012","b6012","c6012"
"6013","a6013","b6013","c6013"
"6014","a6014","b6014","c6014"
"6015","a6015","b6015","c6015"
"6016","a6016","b6016","c6016"
"6017","a6017","b6017","c6017"
"6018","a6018","b6018","c6018"
"6019","a6019","b6019","c6019"
"6020","a6020","b6020","c6020"
"6021","a6021","b6021","c6021"
"6022","a6022","b6022","c6022"
"6023","a6023","b6023","c6023"
"6024","a6024","b6024","c6024"
"6025","a6025","b6025","c6025"
"6026","a6026","b6026","c6026"
"6027","a6027","b6027","c6027"
"6028","a6028","b6028","c6028"
"6029","a6029","b6029","c6029"
"6030","a6030","b6030","c6030"
"6031","a6031","b6031","c6031"
"6032","a6032","b6032","c6032"
"6033","a6033","b6033","c6033"
"6034","a6034","b6034","c6034"
"6035","a6035","b6035","c6035"
"6036","a6036","b6036","c6036"
"6037","a6037","b6037","c6037"
"6038","a6038","b6038","c6038"
"6039","a6039","b6039","c6039"
"6040","a6040","b6040","c6040"
"6041","a6041","b6041","c6041"
"6042","a6042","b6042","c6042"
"6043","a6043","b6043","c6043"
"6044","a6044","b6044","c6044"
"6045","a6045","b6045","c6045"
"6046","a6046","b6046","c6046"
"6047","a6047","b6047","c6047"
"6048","a6048","b6048","c6048"
"6049","a6049","b6049","c6049"
"6050","a6050","b6050","c6050"
"6051","a6051","b6051","c6051"
"6052","a6052","b6052","c6052"
"6053","a6053","b6053","c6053"
"6054","a6054","b6054","c6054"
"6055","a6055","b6055","c6055"
"6056","a6056","b6056","c6056"
"6057","a6057","b6057","c6057"
"6058","a6058","b6058","c6058"
"6059","a6059","b6059","c6059"
"6060","a6060","b6060","c6060"
"6061","a6061","b6061","c6061"
"6062","a6062","b6062","c6062"
"6063","a6063","b6063","c6063"
"6064","a6064","b6064","c6064"
"6065","a6065","b6065","c6065"
"6066","a6066","b6066","c6066"
"6067","a6067","b6067","c6067"
"6068","a6068","b6068","c6068"
"6069","a6069","b6069","c6069"
"6070","a6070","b6070","c6070"
"6071","a6071","b6071","c6071"
"6072","a6072","b6072","c6072"
"6073","a6073","b6073","c6073"
"6074","a6074","b6074","c6074"
"6075","a6075","b6075","c6075"
"6076","a6076","b6076","c6076"
"6077","a6077","b6077","c6077"
"6078","a6078","b6078","c6078"
"6079","a6079","b6079","c6079"
"6080","a6080","b6080","c6080"
"6081","a6081","b6081","c6081"
"6082","a6082","b6082","c6082"
"6083","a6083","b6083","c6083"
"6084","a6084","b6084","c6084"
"6085","a6085","b6085","c6085"
"6086","a6086","b6086","c6086"
"6087","a6087","b6087","c6087"
"6088","a6088","b6088","c6088"
"6089","a6089","b6089","c6089"
"6090","a6090","b6090","c6090"
"6091","a6091","b6091","c6091"
"6092","a6092","b6092","c6092"
"6093","a6093","b6093","c6093"
"6094","a6094","b6094","c6094"
"6095","a6095","b6095","c6095"
"6096","a6096","b6096","c6096"
"6097","a6097","b6097","c6097"
"6098","a6098","b6098","c6098"
"6099","a6099","b6099","c6099"
"6100","a6100","b6100","c6100"
"6101","a6101","b6101","c6101"
"6102","a6102","b6102","c6102"
"6103","a6103","b6103","c6103"
"6104","a6104","b6104","c6104"
"6105","a6105","b6105","c6105"
"6106","a6106","b6106","c6106"
"6107","a6107","b6107","c6107"
"6108","a6108","b6108","c6108"
"6109","a6109","b6109","c6109"
"6110","a6110","b6110","c6110"
"6111","a6111","b6111","c6111"
"6112","a6112","b6112","c6112"
"6113","a6113","b6113","c6113"
"6114","a6114","b6114","c6114"
"6115","a6115","b6115","c6115"
"6116","a6116","b6116","c6116"
"6117","a6117","b6117","c6117"
"6118","a6118","b6118","c6118"
"6119","a6119","b6119","c6119"
"6120","a6120","b6120","c6120"
"6121","a6121","b6121","c6121"
"6122","a6122","b6122","c6122"
"6123","a6123","b6123","c6123"
"6124","a6124","b6124","c6124"
"6125","a6125","b6125","c6125"
"6126","a6126","b6126","c6126"
"6127","a6127","b6127","c6127"
"6128","a6128","b6128","c6128"
"6129","a6129","b6129","c6129"
"6130","a6130","b6130","c6130"
"6131","a6131","b6131","c6131"
"6132","a6132","b6132","c6132"
"6133","a6133","b6133","c6133"
"6134","a6134","b6134","c6134"
